p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p051,p052,p053,p054,p055,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074
0.475,,,,,,,,,,,,,,,,,,,,,,,0.37,0.12300000000000001,,,0.82,,,0.20 ,0.66,,,,,,,,,,,,,,,,,,,0.96,0.413,,,,,,,,,,,,,,,,,,,
0.71,,,,,,,,,,,,,,,,,,,,,,,0.23,0.10800000000000001,,,0.93,,,0.09 ,0.8,,,,,,,,,,,,,,,,,,,0.86,0.115,,,,,,,,,,,,,,,,,,,
0.674,,,,,,,,,,,,,,,,,,,,,,,-0.01,0.348,,,0.64,,,-0.04 ,0.88,,,,,,,,,,,,,,,,,,,0.73,0.39799999999999996,,,,,,,,,,,,,,,,,,,
0.551,,,,,,,,,,,,,,,,,,,,,,,0.7,0.508,,,0.77,,,-0.19 ,1.0,,,,,,,,,,,,,,,,,,,0.86,0.136,,,,,,,,,,,,,,,,,,,
0.767,,,,,,,,,,,,,,,,,,,,,,,0.3,0.08900000000000001,,,0.75,,,0.20 ,0.86,,,,,,,,,,,,,,,,,,,0.83,0.435,,,,,,,,,,,,,,,,,,,
0.81,,,,,,,,,,,,,,,,,,,,,,,0.25,0.47100000000000003,,,0.83,,,0.23 ,0.7,,,,,,,,,,,,,,,,,,,0.78,0.136,,,,,,,,,,,,,,,,,,,
0.745,,,,,,,,,,,,,,,,,,,,,,,0.89,0.01,,,0.62,,,0.51 ,0.3,,,,,,,,,,,,,,,,,,,0.76,0.44799999999999995,,,,,,,,,,,,,,,,,,,
0.935,,,,,,,,,,,,,,,,,,,,,,,0.4,0.507,,,0.8,,,0.21 ,0.85,,,,,,,,,,,,,,,,,,,0.8,0.11,,,,,,,,,,,,,,,,,,,
0.789,,,,,,,,,,,,,,,,,,,,,,,0.5,0.653,,,0.57,,,0.05 ,0.71,,,,,,,,,,,,,,,,,,,0.92,0.823,,,,,,,,,,,,,,,,,,,
0.693,,,,,,,,,,,,,,,,,,,,,,,0.57,0.057,,,0.62,,,0.25 ,0.97,,,,,,,,,,,,,,,,,,,0.1,0.044000000000000004,,,,,,,,,,,,,,,,,,,
0.8809999999999999,,,,,,,,,,,,,,,,,,,,,,,0.07,0.508,,,0.68,,,0.21 ,0.68,,,,,,,,,,,,,,,,,,,0.68,0.65,,,,,,,,,,,,,,,,,,,
0.904,,,,,,,,,,,,,,,,,,,,,,,0.11,0.789,,,0.54,,,0.13 ,0.95,,,,,,,,,,,,,,,,,,,0.91,0.534,,,,,,,,,,,,,,,,,,,
0.733,,,,,,,,,,,,,,,,,,,,,,,0.53,0.209,,,0.86,,,-0.38 ,0.58,,,,,,,,,,,,,,,,,,,0.84,1.287,,,,,,,,,,,,,,,,,,,
0.935,,,,,,,,,,,,,,,,,,,,,,,0.52,0.41700000000000004,,,0.56,,,0.68 ,0.97,,,,,,,,,,,,,,,,,,,0.92,0.341,,,,,,,,,,,,,,,,,,,
0.8540000000000001,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,,,0.62,,,0.57 ,0.84,,,,,,,,,,,,,,,,,,,0.39,1.0270000000000001,,,,,,,,,,,,,,,,,,,
0.7020000000000001,,,,,,,,,,,,,,,,,,,,,,,0.54,0.10400000000000001,,,0.91,,,0.15 ,0.98,,,,,,,,,,,,,,,,,,,0.88,0.442,,,,,,,,,,,,,,,,,,,
0.703,,,,,,,,,,,,,,,,,,,,,,,0.76,0.24,,,0.88,,,1.07 ,,,,,,,,,,,,,,,,,,,,0.92,0.809,,,,,,,,,,,,,,,,,,,
0.752,,,,,,,,,,,,,,,,,,,,,,,0.99,0.37,,,1.16,,,0.95 ,,,,,,,,,,,,,,,,,,,,0.66,0.37,,,,,,,,,,,,,,,,,,,
0.8170000000000001,,,,,,,,,,,,,,,,,,,,,,,0.08,0.508,,,1.01,,,0.45 ,,,,,,,,,,,,,,,,,,,,0.79,0.691,,,,,,,,,,,,,,,,,,,
0.87,,,,,,,,,,,,,,,,,,,,,,,0.31,0.414,,,0.7,,,0.11 ,,,,,,,,,,,,,,,,,,,,0.6,0.26,,,,,,,,,,,,,,,,,,,
0.76,,,,,,,,,,,,,,,,,,,,,,,0.08,0.091,,,0.89,,,-0.50 ,,,,,,,,,,,,,,,,,,,,0.59,0.772,,,,,,,,,,,,,,,,,,,
0.5379999999999999,,,,,,,,,,,,,,,,,,,,,,,0.59,0.07,,,1.03,,,0.01 ,,,,,,,,,,,,,,,,,,,,0.72,0.11699999999999999,,,,,,,,,,,,,,,,,,,
0.812,,,,,,,,,,,,,,,,,,,,,,,0.94,0.111,,,0.94,,,0.00 ,,,,,,,,,,,,,,,,,,,,,0.591,,,,,,,,,,,,,,,,,,,
0.503,,,,,,,,,,,,,,,,,,,,,,,1.56,0.36,,,0.93,,,0.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.005,,,,,,,,,,,,,,,,,,,,,,,0.56,0.515,,,0.81,,,-0.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7509999999999999,,,,,,,,,,,,,,,,,,,,,,,0.77,0.10400000000000001,,,0.91,,,-0.05 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.613,,,,,,,,,,,,,,,,,,,,,,,0.41,0.44799999999999995,,,1.2,,,0.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7190000000000001,,,,,,,,,,,,,,,,,,,,,,,-0.11,0.013000000000000001,,,0.71,,,0.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.843,,,,,,,,,,,,,,,,,,,,,,,0.76,0.54,,,0.95,,,0.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.877,,,,,,,,,,,,,,,,,,,,,,,0.3,0.622,,,0.91,,,0.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6940000000000001,,,,,,,,,,,,,,,,,,,,,,,0.6,0.002,,,0.66,,,0.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7120000000000001,,,,,,,,,,,,,,,,,,,,,,,0.65,0.516,,,0.95,,,0.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7490000000000001,,,,,,,,,,,,,,,,,,,,,,,0.41,0.705,,,0.68,,,0.05 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.667,,,,,,,,,,,,,,,,,,,,,,,0.41,0.28600000000000003,,,0.6,,,-0.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.711,,,,,,,,,,,,,,,,,,,,,,,-0.24,0.42200000000000004,,,0.61,,,0.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6509999999999999,,,,,,,,,,,,,,,,,,,,,,,0.58,0.031,,,0.86,,,0.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.429,,,,,,,,,,,,,,,,,,,,,,,0.65,0.071,,,0.72,,,0.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.396,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.638,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.674,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.713,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.716,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8290000000000001,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.866,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
